Date, Open, High, Low, Close
4/9/2021,2241.97,2245.99,2231.03,2243.47
4/8/2021,2225.19,2243,2213.84,2242.6
4/7/2021,2259.15,2259.15,2217.78,2223.05
4/6/2021,2264.74,2280.37,2257.55,2259.15
4/5/2021,2280.8,2280.83,2253.94,2264.89
4/1/2021,2225.29,2253.9,2225.29,2253.9
3/31/2021,2200.03,2237.68,2200.03,2220.52
3/30/2021,2158.59,2202.63,2151.55,2195.8
3/29/2021,2219.31,2223.19,2158.44,2158.68
3/26/2021,2190.88,2222.19,2177.9,2221.48
3/25/2021,2133.15,2190.89,2100.28,2183.12
3/24/2021,2192.95,2221.97,2134.12,2134.27
3/23/2021,2264.14,2264.14,2175.78,2185.69
3/22/2021,2287.93,2294.04,2258.7,2266.84
3/19/2021,2267.65,2298.04,2247.57,2287.55
3/18/2021,2335.83,2340.55,2262.07,2267.59
3/17/2021,2315.14,2339.28,2289.84,2336.39
3/16/2021,2360.13,2360.13,2304.97,2319.52
3/15/2021,2352.79,2360.17,2337.13,2360.17
3/12/2021,2337.23,2354.2,2325.66,2352.79
3/11/2021,2287.94,2338.55,2287.94,2338.54
3/10/2021,2246.96,2299.46,2246.96,2285.68
3/9/2021,2204.8,2261.64,2204.8,2245.06
3/8/2021,2192.65,2233.34,2192.48,2202.99
3/5/2021,2149.43,2193.27,2085.12,2192.21
3/4/2021,2207.74,2217.05,2110.14,2146.92
3/3/2021,2232.5,2252.56,2207.62,2207.79
3/2/2021,2275.12,2275.12,2231.11,2231.51
3/1/2021,2203.03,2279.54,2203.03,2275.32
2/26/2021,2201.3,2232.29,2165.86,2201.05
2/25/2021,2283.85,2289.07,2196.52,2200.17
2/24/2021,2232.41,2286.49,2232.41,2284.38
2/23/2021,2248.42,2248.42,2169.08,2231.31
2/22/2021,2265.87,2276.33,2247.75,2251.07
2/19/2021,2218.82,2275.87,2218.82,2266.69
2/18/2021,2253.03,2253.03,2208.49,2218.39
2/17/2021,2271.95,2271.95,2226.98,2256.11
2/16/2021,2290.57,2310.09,2266.27,2272.89
2/15/2021,2296.06,2314.83,2295.56,2308.43
2/12/2021,2284.66,2293.73,2264.38,2289.36
2/11/2021,2283.27,2303.63,2255.57,2285.32
2/10/2021,2300.68,2318.09,2266.66,2282.44
2/9/2021,2289.64,2309.43,2281.93,2299
2/8/2021,2234.35,2289.76,2234.35,2289.76
2/5/2021,2202.95,2233.33,2202.95,2233.33
