Date,Open,High,Low,Close,Range,bodyRange,bodyColor
05/11/2021,2206.48,2215.69,2157.14,2206.99,58.55,0.51,GREEN
05/10/2021,2271.09,2271.24,2212.59,2212.70,58.65,-58.39,RED
05/07/2021,2242.10,2271.81,2240.41,2271.63,31.40,29.53,GREEN
05/06/2021,2240.21,2242.03,2205.59,2241.42,36.44,1.21,GREEN
05/05/2021,2250.13,2260.00,2232.86,2241.37,27.14,-8.76,RED
05/04/2021,2275.10,2275.10,2225.70,2248.29,49.40,-26.81,RED
05/03/2021,2268.62,2288.57,2267.78,2277.45,20.79,8.83,GREEN
04/30/21,2292.49,2292.49,2259.30,2266.45,33.19,-26.04,RED
04/29/21,2307.07,2322.91,2278.42,2295.46,44.49,-11.61,RED
04/28/21,2301.10,2309.82,2291.28,2304.16,18.54,3.06,GREEN
04/27/21,2298.83,2309.80,2294.41,2301.27,15.39,2.44,GREEN
04/26/21,2275.34,2302.38,2275.34,2298.01,27.04,22.67,GREEN
04/23/21,2233.72,2281.22,2233.72,2271.86,47.50,38.14,GREEN
04/22/21,2240.87,2268.53,2227.49,2232.61,41.04,-8.26,RED
04/21/21,2187.49,2240.46,2175.43,2239.63,65.03,52.14,GREEN
04/20/21,2231.13,2231.13,2171.68,2188.21,59.45,-42.92,RED
04/19/21,2261.11,2261.11,2219.05,2232.00,42.06,-29.11,RED
04/16/21,2258.29,2273.15,2251.73,2262.67,21.42,4.38,GREEN
04/15/21,2249.42,2264.16,2240.75,2257.07,23.41,7.65,GREEN
04/14/21,2230.16,2272.85,2230.16,2247.72,42.69,17.56,GREEN
04/13/21,2233.99,2237.38,2208.20,2228.92,29.18,-5.07,RED
04/12/2021,2244.33,2244.33,2222.21,2233.78,22.12,-10.55,RED
04/09/2021,2241.97,2245.99,2231.03,2243.47,14.96,1.50,GREEN
04/08/2021,2225.19,2243.00,2213.84,2242.60,29.16,17.41,GREEN
04/07/2021,2259.15,2259.15,2217.78,2223.05,41.37,-36.10,RED
04/06/2021,2264.74,2280.37,2257.55,2259.15,22.82,-5.59,RED
04/05/2021,2280.80,2280.83,2253.94,2264.89,26.89,-15.91,RED
04/01/2021,2225.29,2253.90,2225.29,2253.90,28.61,28.61,GREEN
03/31/21,2200.03,2237.68,2200.03,2220.52,37.65,20.49,GREEN
03/30/21,2158.59,2202.63,2151.55,2195.80,51.08,37.21,GREEN
03/29/21,2219.31,2223.19,2158.44,2158.68,64.75,-60.63,RED
03/26/21,2190.88,2222.19,2177.90,2221.48,44.29,30.60,GREEN
03/25/21,2133.15,2190.89,2100.28,2183.12,90.61,49.97,GREEN
03/24/21,2192.95,2221.97,2134.12,2134.27,87.85,-58.68,RED
03/23/21,2264.14,2264.14,2175.78,2185.69,88.36,-78.45,RED
03/22/21,2287.93,2294.04,2258.70,2266.84,35.34,-21.09,RED
03/19/21,2267.65,2298.04,2247.57,2287.55,50.47,19.90,GREEN
03/18/21,2335.83,2340.55,2262.07,2267.59,78.48,-68.24,RED
03/17/21,2315.14,2339.28,2289.84,2336.39,49.44,21.25,GREEN
03/16/21,2360.13,2360.13,2304.97,2319.52,55.16,-40.61,RED
03/15/21,2352.79,2360.17,2337.13,2360.17,23.04,7.38,GREEN
03/12/2021,2337.23,2354.20,2325.66,2352.79,28.54,15.56,GREEN
03/11/2021,2287.94,2338.55,2287.94,2338.54,50.61,50.60,GREEN
03/10/2021,2246.96,2299.46,2246.96,2285.68,52.50,38.72,GREEN
03/09/2021,2204.80,2261.64,2204.80,2245.06,56.84,40.26,GREEN
03/08/2021,2192.65,2233.34,2192.48,2202.99,40.86,10.34,GREEN
03/05/2021,2149.43,2193.27,2085.12,2192.21,108.15,42.78,GREEN
03/04/2021,2207.74,2217.05,2110.14,2146.92,106.91,-60.82,RED
03/03/2021,2232.50,2252.56,2207.62,2207.79,44.94,-24.71,RED
03/02/2021,2275.12,2275.12,2231.11,2231.51,44.01,-43.61,RED
03/01/2021,2203.03,2279.54,2203.03,2275.32,76.51,72.29,GREEN
02/26/21,2201.30,2232.29,2165.86,2201.05,66.43,-0.25,RED
02/25/21,2283.85,2289.07,2196.52,2200.17,92.55,-83.68,RED
02/24/21,2232.41,2286.49,2232.41,2284.38,54.08,51.97,GREEN
02/23/21,2248.42,2248.42,2169.08,2231.31,79.34,-17.11,RED
02/22/21,2265.87,2276.33,2247.75,2251.07,28.58,-14.80,RED
02/19/21,2218.82,2275.87,2218.82,2266.69,57.05,47.87,GREEN
02/18/21,2253.03,2253.03,2208.49,2218.39,44.54,-34.64,RED
02/17/21,2271.95,2271.95,2226.98,2256.11,44.97,-15.84,RED
02/16/21,2290.57,2310.09,2266.27,2272.89,43.82,-17.68,RED
02/12/2021,2284.66,2293.73,2264.38,2289.36,29.35,4.70,GREEN
02/11/2021,2283.27,2303.63,2255.57,2285.32,48.06,2.05,GREEN
02/10/2021,2300.68,2318.09,2266.66,2282.44,51.43,-18.24,RED
